trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,13,13,31,,,,,,,142.89630859997123,143.39446590002626,143.84449420007877,143.87776280008256,143.82768270000815,143.84449420007877,143.79451779997908,143.81116020004265,143.81116020004265,143.82768270000815,None,0,,143.84449420007877,142.89630859997123,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
69,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,long,48,0,14,14,68,,,,,,,145.3534226999618,145.86106740008108,146.71115899994038,146.74447249993682,146.69442830001935,146.71115899994038,146.6610451999586,146.6777757999953,146.6777757999953,146.69442830001935,right,1,0.885073599871248,146.71115899994038,145.3534226999618,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
60,"(-0.5, 0)",leftpurple.png,0.15,left,Oppcol,leftblue.png,0.15,long,48,0,15,15,59,,,,,,,147.6307119000703,148.12769140000455,148.9777432999108,149.01115929987282,148.96111229993403,148.9777432999108,148.92778449994512,148.9444345999509,148.9444345999509,148.96111229993403,left,1,0.8105856999754906,148.9777432999108,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
7,"(-0.5, 0)",rightpurple.png,0.15,None,None,None,None,short,24,0,16,16,6,,,,,,,149.81305349990726,150.31113739986904,150.76107569993474,150.79438249999657,150.744436299894,150.76107569993474,150.7111213998869,150.7278263999615,150.7278263999615,150.744436299894,None,1,,150.76107569993474,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
24,"(0.5, 0)",rightblue.png,0.15,None,None,None,None,long,48,0,17,17,23,,,,,,,152.25996499997564,152.76116140000522,153.61107290000655,153.64444319996983,153.59440569998696,153.61107290000655,153.56111259991303,153.5778012999799,153.5778012999799,153.59440569998696,None,1,,153.61107290000655,152.25996499997564,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
77,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,short,24,0,18,18,76,,,,,,,155.1222953000106,155.6277848999016,156.07772960001603,156.1110324000474,156.06106669991277,156.07772960001603,156.02772979997098,156.044405200053,156.044405200053,156.06106669991277,left,0,1.0224460000172257,156.07772960001603,155.1222953000106,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
34,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,long,48,0,19,19,33,,,,,,,157.13147170003504,157.6275428000372,158.47772939992137,158.51113180001266,158.46120500005782,158.47772939992137,158.4277749999892,158.4442306999117,158.4442306999117,158.46120500005782,None,0,,158.47772939992137,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
64,"(0.5, 0)",rightblue.png,0.15,None,Oppcol,rightpurple.png,0.15,long,48,0,20,20,63,,,,,,,159.97891499986872,160.4779225999955,161.32773680007085,161.36110139987431,161.31115010008216,161.32773680007085,161.27780209993944,161.2944271999877,161.2944271999877,161.31115010008216,right,0,0.7006292000878602,161.32773680007085,159.97891499986872,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
80,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,long,48,0,21,21,79,,,,,,,162.04814159986563,162.5444889999926,163.39442500006407,163.42780290008523,163.377807199955,163.39442500006407,163.34447399992496,163.36110169999301,163.36110169999301,163.377807199955,None,1,,163.39442500006407,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
74,"(0.5, 0)",leftblue.png,0.15,left,Oppcol,leftpurple.png,0.15,long,48,0,22,22,73,,,,,,,164.89636159990914,165.39442329993472,166.24440279998817,166.27772699994966,166.22774320002645,166.24440279998817,166.19442109996453,166.21117749996483,166.21117749996483,166.22774320002645,None,0,,166.24440279998817,164.89636159990914,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
39,"(-0.5, 0)",leftblue.png,0.15,None,None,None,None,long,48,0,23,23,38,,,,,,,167.7530765000265,168.24449579999782,169.09448339999653,169.1277882999275,169.07769449986517,169.09448339999653,169.0444441998843,169.0610980000347,169.0610980000347,169.07769449986517,None,1,,169.09448339999653,167.7530765000265,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
78,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,short,24,0,24,24,77,,,,,,,170.59589080000296,171.09445099998266,171.54446740006097,171.57766099995933,171.52772290003486,171.54446740006097,171.49443800002337,171.51115299994126,171.51115299994126,171.52772290003486,None,1,,171.54446740006097,170.59589080000296,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
22,"(0.5, 0)",rightblue.png,0.15,None,None,None,None,short,24,0,25,25,21,,,,,,,173.0579705000855,173.56037469999865,174.01115670008585,174.04439370008186,173.9943855998572,174.01115670008585,173.9610625000205,173.9778007999994,173.9778007999994,173.9943855998572,right,0,0.9289426000323147,174.01115670008585,173.0579705000855,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
49,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,26,26,48,,,,,,,174.96594600006938,175.46103359991685,176.31114850006998,176.34448429988697,176.29443989996798,176.31114850006998,176.261082299985,176.27770740003325,176.27770740003325,176.29443989996798,None,1,,176.31114850006998,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
